Symbol,Week_1_2025-09-12,Week_2_2025-09-19,Week_3_2025-09-26,Week_4_2025-10-03,Week_5_2025-10-10,Week_6_2025-10-17,Week_7_2025-10-24,Week_8_2025-10-31,Week_9_2025-11-07,Week_10_2025-11-14,Week_11_2025-11-21,Week_12_2025-11-28,Week_13_2025-12-05
MPHASIS.NS,"Ticker
MPHASIS.NS    2904.199951
Name: 2025-09-12, dtype: float64","Ticker
MPHASIS.NS    2993.800049
Name: 2025-09-19, dtype: float64","Ticker
MPHASIS.NS    2642.399902
Name: 2025-09-26, dtype: float64","Ticker
MPHASIS.NS    2736.899902
Name: 2025-10-03, dtype: float64","Ticker
MPHASIS.NS    2783.199951
Name: 2025-10-10, dtype: float64","Ticker
MPHASIS.NS    2693.699951
Name: 2025-10-17, dtype: float64","Ticker
MPHASIS.NS    2818.899902
Name: 2025-10-24, dtype: float64","Ticker
MPHASIS.NS    2764.399902
Name: 2025-10-31, dtype: float64","Ticker
MPHASIS.NS    2736.0
Name: 2025-11-07, dtype: float64","Ticker
MPHASIS.NS    2772.100098
Name: 2025-11-14, dtype: float64","Ticker
MPHASIS.NS    2747.100098
Name: 2025-11-21, dtype: float64","Ticker
MPHASIS.NS    2811.399902
Name: 2025-11-28, dtype: float64","Ticker
MPHASIS.NS    2959.100098
Name: 2025-12-05, dtype: float64"
COCHINSHIP.NS,"Ticker
COCHINSHIP.NS    1741.644165
Name: 2025-09-12, dtype: float64","Ticker
COCHINSHIP.NS    1896.384033
Name: 2025-09-19, dtype: float64","Ticker
COCHINSHIP.NS    1869.845703
Name: 2025-09-26, dtype: float64","Ticker
COCHINSHIP.NS    1857.175293
Name: 2025-10-03, dtype: float64","Ticker
COCHINSHIP.NS    1772.173218
Name: 2025-10-10, dtype: float64","Ticker
COCHINSHIP.NS    1787.83667
Name: 2025-10-17, dtype: float64","Ticker
COCHINSHIP.NS    1820.061768
Name: 2025-10-24, dtype: float64","Ticker
COCHINSHIP.NS    1785.342529
Name: 2025-10-31, dtype: float64","Ticker
COCHINSHIP.NS    1721.790527
Name: 2025-11-07, dtype: float64","Ticker
COCHINSHIP.NS    1721.291748
Name: 2025-11-14, dtype: float64","Ticker
COCHINSHIP.NS    1697.300049
Name: 2025-11-21, dtype: float64","Ticker
COCHINSHIP.NS    1666.099976
Name: 2025-11-28, dtype: float64","Ticker
COCHINSHIP.NS    1629.199951
Name: 2025-12-05, dtype: float64"
UPL.NS,"Ticker
UPL.NS    693.099976
Name: 2025-09-12, dtype: float64","Ticker
UPL.NS    691.099976
Name: 2025-09-19, dtype: float64","Ticker
UPL.NS    648.0
Name: 2025-09-26, dtype: float64","Ticker
UPL.NS    674.0
Name: 2025-10-03, dtype: float64","Ticker
UPL.NS    681.299988
Name: 2025-10-10, dtype: float64","Ticker
UPL.NS    674.150024
Name: 2025-10-17, dtype: float64","Ticker
UPL.NS    672.049988
Name: 2025-10-24, dtype: float64","Ticker
UPL.NS    720.099976
Name: 2025-10-31, dtype: float64","Ticker
UPL.NS    747.950012
Name: 2025-11-07, dtype: float64","Ticker
UPL.NS    758.599976
Name: 2025-11-14, dtype: float64","Ticker
UPL.NS    750.849976
Name: 2025-11-21, dtype: float64","Ticker
UPL.NS    758.650024
Name: 2025-11-28, dtype: float64","Ticker
UPL.NS    751.849976
Name: 2025-12-05, dtype: float64"
AUROPHARMA.NS,"Ticker
AUROPHARMA.NS    1094.400024
Name: 2025-09-12, dtype: float64","Ticker
AUROPHARMA.NS    1119.199951
Name: 2025-09-19, dtype: float64","Ticker
AUROPHARMA.NS    1090.0
Name: 2025-09-26, dtype: float64","Ticker
AUROPHARMA.NS    1093.300049
Name: 2025-10-03, dtype: float64","Ticker
AUROPHARMA.NS    1130.300049
Name: 2025-10-10, dtype: float64","Ticker
AUROPHARMA.NS    1101.0
Name: 2025-10-17, dtype: float64","Ticker
AUROPHARMA.NS    1085.0
Name: 2025-10-24, dtype: float64","Ticker
AUROPHARMA.NS    1138.900024
Name: 2025-10-31, dtype: float64","Ticker
AUROPHARMA.NS    1123.800049
Name: 2025-11-07, dtype: float64","Ticker
AUROPHARMA.NS    1222.5
Name: 2025-11-14, dtype: float64","Ticker
AUROPHARMA.NS    1205.900024
Name: 2025-11-21, dtype: float64","Ticker
AUROPHARMA.NS    1226.699951
Name: 2025-11-28, dtype: float64","Ticker
AUROPHARMA.NS    1215.699951
Name: 2025-12-05, dtype: float64"
BEML.NS,"Ticker
BEML.NS    2209.591064
Name: 2025-09-12, dtype: float64","Ticker
BEML.NS    2177.5
Name: 2025-09-19, dtype: float64","Ticker
BEML.NS    2103.75
Name: 2025-09-26, dtype: float64","Ticker
BEML.NS    2195.100098
Name: 2025-10-03, dtype: float64","Ticker
BEML.NS    2181.949951
Name: 2025-10-10, dtype: float64","Ticker
BEML.NS    2209.25
Name: 2025-10-17, dtype: float64","Ticker
BEML.NS    2219.050049
Name: 2025-10-24, dtype: float64","Ticker
BEML.NS    2199.899902
Name: 2025-10-31, dtype: float64","Ticker
BEML.NS    2006.699951
Name: 2025-11-07, dtype: float64","Ticker
BEML.NS    2009.800049
Name: 2025-11-14, dtype: float64","Ticker
BEML.NS    1903.900024
Name: 2025-11-21, dtype: float64","Ticker
BEML.NS    1828.0
Name: 2025-11-28, dtype: float64","Ticker
BEML.NS    1740.800049
Name: 2025-12-05, dtype: float64"
ATUL.NS,"Ticker
ATUL.NS    6392.0
Name: 2025-09-12, dtype: float64","Ticker
ATUL.NS    6341.0
Name: 2025-09-19, dtype: float64","Ticker
ATUL.NS    6032.0
Name: 2025-09-26, dtype: float64","Ticker
ATUL.NS    6134.0
Name: 2025-10-03, dtype: float64","Ticker
ATUL.NS    6032.0
Name: 2025-10-10, dtype: float64","Ticker
ATUL.NS    5952.0
Name: 2025-10-17, dtype: float64","Ticker
ATUL.NS    5898.5
Name: 2025-10-24, dtype: float64","Ticker
ATUL.NS    5762.5
Name: 2025-10-31, dtype: float64","Ticker
ATUL.NS    5691.0
Name: 2025-11-07, dtype: float64","Ticker
ATUL.NS    5916.5
Name: 2025-11-14, dtype: float64","Ticker
ATUL.NS    5971.0
Name: 2025-11-21, dtype: float64","Ticker
ATUL.NS    5874.0
Name: 2025-11-28, dtype: float64","Ticker
ATUL.NS    5723.0
Name: 2025-12-05, dtype: float64"
SHYAMMETL.NS,"Ticker
SHYAMMETL.NS    917.75
Name: 2025-09-12, dtype: float64","Ticker
SHYAMMETL.NS    908.200012
Name: 2025-09-19, dtype: float64","Ticker
SHYAMMETL.NS    907.25
Name: 2025-09-26, dtype: float64","Ticker
SHYAMMETL.NS    970.799988
Name: 2025-10-03, dtype: float64","Ticker
SHYAMMETL.NS    931.650024
Name: 2025-10-10, dtype: float64","Ticker
SHYAMMETL.NS    918.0
Name: 2025-10-17, dtype: float64","Ticker
SHYAMMETL.NS    903.650024
Name: 2025-10-24, dtype: float64","Ticker
SHYAMMETL.NS    877.849976
Name: 2025-10-31, dtype: float64","Ticker
SHYAMMETL.NS    860.549988
Name: 2025-11-07, dtype: float64","Ticker
SHYAMMETL.NS    855.799988
Name: 2025-11-14, dtype: float64","Ticker
SHYAMMETL.NS    826.200012
Name: 2025-11-21, dtype: float64","Ticker
SHYAMMETL.NS    813.900024
Name: 2025-11-28, dtype: float64","Ticker
SHYAMMETL.NS    792.049988
Name: 2025-12-05, dtype: float64"
LTFOODS.NS,"Ticker
LTFOODS.NS    461.803009
Name: 2025-09-12, dtype: float64","Ticker
LTFOODS.NS    472.75
Name: 2025-09-19, dtype: float64","Ticker
LTFOODS.NS    415.75
Name: 2025-09-26, dtype: float64","Ticker
LTFOODS.NS    403.850006
Name: 2025-10-03, dtype: float64","Ticker
LTFOODS.NS    402.049988
Name: 2025-10-10, dtype: float64","Ticker
LTFOODS.NS    419.200012
Name: 2025-10-17, dtype: float64","Ticker
LTFOODS.NS    425.950012
Name: 2025-10-24, dtype: float64","Ticker
LTFOODS.NS    420.5
Name: 2025-10-31, dtype: float64","Ticker
LTFOODS.NS    404.299988
Name: 2025-11-07, dtype: float64","Ticker
LTFOODS.NS    412.899994
Name: 2025-11-14, dtype: float64","Ticker
LTFOODS.NS    409.549988
Name: 2025-11-21, dtype: float64","Ticker
LTFOODS.NS    408.299988
Name: 2025-11-28, dtype: float64","Ticker
LTFOODS.NS    403.850006
Name: 2025-12-05, dtype: float64"
INDUSTOWER.NS,"Ticker
INDUSTOWER.NS    361.850006
Name: 2025-09-12, dtype: float64","Ticker
INDUSTOWER.NS    356.850006
Name: 2025-09-19, dtype: float64","Ticker
INDUSTOWER.NS    346.299988
Name: 2025-09-26, dtype: float64","Ticker
INDUSTOWER.NS    353.100006
Name: 2025-10-03, dtype: float64","Ticker
INDUSTOWER.NS    353.700012
Name: 2025-10-10, dtype: float64","Ticker
INDUSTOWER.NS    343.0
Name: 2025-10-17, dtype: float64","Ticker
INDUSTOWER.NS    361.549988
Name: 2025-10-24, dtype: float64","Ticker
INDUSTOWER.NS    363.600006
Name: 2025-10-31, dtype: float64","Ticker
INDUSTOWER.NS    400.799988
Name: 2025-11-07, dtype: float64","Ticker
INDUSTOWER.NS    412.350006
Name: 2025-11-14, dtype: float64","Ticker
INDUSTOWER.NS    397.0
Name: 2025-11-21, dtype: float64","Ticker
INDUSTOWER.NS    401.049988
Name: 2025-11-28, dtype: float64","Ticker
INDUSTOWER.NS    407.100006
Name: 2025-12-05, dtype: float64"
ZENTEC.NS,"Ticker
ZENTEC.NS    1481.5
Name: 2025-09-12, dtype: float64","Ticker
ZENTEC.NS    1604.199951
Name: 2025-09-19, dtype: float64","Ticker
ZENTEC.NS    1500.800049
Name: 2025-09-26, dtype: float64","Ticker
ZENTEC.NS    1487.5
Name: 2025-10-03, dtype: float64","Ticker
ZENTEC.NS    1419.0
Name: 2025-10-10, dtype: float64","Ticker
ZENTEC.NS    1376.599976
Name: 2025-10-17, dtype: float64","Ticker
ZENTEC.NS    1396.5
Name: 2025-10-24, dtype: float64","Ticker
ZENTEC.NS    1357.199951
Name: 2025-10-31, dtype: float64","Ticker
ZENTEC.NS    1358.800049
Name: 2025-11-07, dtype: float64","Ticker
ZENTEC.NS    1434.400024
Name: 2025-11-14, dtype: float64","Ticker
ZENTEC.NS    1412.599976
Name: 2025-11-21, dtype: float64","Ticker
ZENTEC.NS    1406.699951
Name: 2025-11-28, dtype: float64","Ticker
ZENTEC.NS    1385.300049
Name: 2025-12-05, dtype: float64"
PRESTIGE.NS,"Ticker
PRESTIGE.NS    1549.699951
Name: 2025-09-12, dtype: float64","Ticker
PRESTIGE.NS    1618.699951
Name: 2025-09-19, dtype: float64","Ticker
PRESTIGE.NS    1507.400024
Name: 2025-09-26, dtype: float64","Ticker
PRESTIGE.NS    1530.099976
Name: 2025-10-03, dtype: float64","Ticker
PRESTIGE.NS    1621.599976
Name: 2025-10-10, dtype: float64","Ticker
PRESTIGE.NS    1706.199951
Name: 2025-10-17, dtype: float64","Ticker
PRESTIGE.NS    1754.099976
Name: 2025-10-24, dtype: float64","Ticker
PRESTIGE.NS    1744.699951
Name: 2025-10-31, dtype: float64","Ticker
PRESTIGE.NS    1738.599976
Name: 2025-11-07, dtype: float64","Ticker
PRESTIGE.NS    1744.900024
Name: 2025-11-14, dtype: float64","Ticker
PRESTIGE.NS    1688.5
Name: 2025-11-21, dtype: float64","Ticker
PRESTIGE.NS    1677.300049
Name: 2025-11-28, dtype: float64","Ticker
PRESTIGE.NS    1680.699951
Name: 2025-12-05, dtype: float64"
NSLNISP.NS,"Ticker
NSLNISP.NS    46.310001
Name: 2025-09-12, dtype: float64","Ticker
NSLNISP.NS    46.919998
Name: 2025-09-19, dtype: float64","Ticker
NSLNISP.NS    44.860001
Name: 2025-09-26, dtype: float64","Ticker
NSLNISP.NS    47.200001
Name: 2025-10-03, dtype: float64","Ticker
NSLNISP.NS    44.93
Name: 2025-10-10, dtype: float64","Ticker
NSLNISP.NS    42.98
Name: 2025-10-17, dtype: float64","Ticker
NSLNISP.NS    44.490002
Name: 2025-10-24, dtype: float64","Ticker
NSLNISP.NS    43.049999
Name: 2025-10-31, dtype: float64","Ticker
NSLNISP.NS    43.470001
Name: 2025-11-07, dtype: float64","Ticker
NSLNISP.NS    43.189999
Name: 2025-11-14, dtype: float64","Ticker
NSLNISP.NS    41.150002
Name: 2025-11-21, dtype: float64","Ticker
NSLNISP.NS    41.869999
Name: 2025-11-28, dtype: float64","Ticker
NSLNISP.NS    40.810001
Name: 2025-12-05, dtype: float64"
NCC.NS,"Ticker
NCC.NS    208.720001
Name: 2025-09-12, dtype: float64","Ticker
NCC.NS    216.990005
Name: 2025-09-19, dtype: float64","Ticker
NCC.NS    202.509995
Name: 2025-09-26, dtype: float64","Ticker
NCC.NS    210.380005
Name: 2025-10-03, dtype: float64","Ticker
NCC.NS    210.779999
Name: 2025-10-10, dtype: float64","Ticker
NCC.NS    206.350006
Name: 2025-10-17, dtype: float64","Ticker
NCC.NS    209.559998
Name: 2025-10-24, dtype: float64","Ticker
NCC.NS    212.369995
Name: 2025-10-31, dtype: float64","Ticker
NCC.NS    195.309998
Name: 2025-11-07, dtype: float64","Ticker
NCC.NS    184.130005
Name: 2025-11-14, dtype: float64","Ticker
NCC.NS    175.619995
Name: 2025-11-21, dtype: float64","Ticker
NCC.NS    171.410004
Name: 2025-11-28, dtype: float64","Ticker
NCC.NS    167.979996
Name: 2025-12-05, dtype: float64"
NBCC.NS,"Ticker
NBCC.NS    106.295471
Name: 2025-09-12, dtype: float64","Ticker
NBCC.NS    110.607582
Name: 2025-09-19, dtype: float64","Ticker
NBCC.NS    104.987869
Name: 2025-09-26, dtype: float64","Ticker
NBCC.NS    112.913368
Name: 2025-10-03, dtype: float64","Ticker
NBCC.NS    112.454208
Name: 2025-10-10, dtype: float64","Ticker
NBCC.NS    111.20649
Name: 2025-10-17, dtype: float64","Ticker
NBCC.NS    111.485977
Name: 2025-10-24, dtype: float64","Ticker
NBCC.NS    117.195534
Name: 2025-10-31, dtype: float64","Ticker
NBCC.NS    113.182869
Name: 2025-11-07, dtype: float64","Ticker
NBCC.NS    113.931496
Name: 2025-11-14, dtype: float64","Ticker
NBCC.NS    112.610001
Name: 2025-11-21, dtype: float64","Ticker
NBCC.NS    116.690002
Name: 2025-11-28, dtype: float64","Ticker
NBCC.NS    111.25
Name: 2025-12-05, dtype: float64"
EIDPARRY.NS,"Ticker
EIDPARRY.NS    1072.599976
Name: 2025-09-12, dtype: float64","Ticker
EIDPARRY.NS    1066.300049
Name: 2025-09-19, dtype: float64","Ticker
EIDPARRY.NS    1031.599976
Name: 2025-09-26, dtype: float64","Ticker
EIDPARRY.NS    1041.900024
Name: 2025-10-03, dtype: float64","Ticker
EIDPARRY.NS    1026.5
Name: 2025-10-10, dtype: float64","Ticker
EIDPARRY.NS    1022.200012
Name: 2025-10-17, dtype: float64","Ticker
EIDPARRY.NS    1038.800049
Name: 2025-10-24, dtype: float64","Ticker
EIDPARRY.NS    1072.400024
Name: 2025-10-31, dtype: float64","Ticker
EIDPARRY.NS    1024.599976
Name: 2025-11-07, dtype: float64","Ticker
EIDPARRY.NS    1025.400024
Name: 2025-11-14, dtype: float64","Ticker
EIDPARRY.NS    1018.400024
Name: 2025-11-21, dtype: float64","Ticker
EIDPARRY.NS    1030.900024
Name: 2025-11-28, dtype: float64","Ticker
EIDPARRY.NS    1033.699951
Name: 2025-12-05, dtype: float64"
BANKINDIA.NS,"Ticker
BANKINDIA.NS    117.339996
Name: 2025-09-12, dtype: float64","Ticker
BANKINDIA.NS    120.470001
Name: 2025-09-19, dtype: float64","Ticker
BANKINDIA.NS    116.330002
Name: 2025-09-26, dtype: float64","Ticker
BANKINDIA.NS    125.529999
Name: 2025-10-03, dtype: float64","Ticker
BANKINDIA.NS    126.769997
Name: 2025-10-10, dtype: float64","Ticker
BANKINDIA.NS    123.110001
Name: 2025-10-17, dtype: float64","Ticker
BANKINDIA.NS    133.899994
Name: 2025-10-24, dtype: float64","Ticker
BANKINDIA.NS    139.880005
Name: 2025-10-31, dtype: float64","Ticker
BANKINDIA.NS    144.580002
Name: 2025-11-07, dtype: float64","Ticker
BANKINDIA.NS    146.520004
Name: 2025-11-14, dtype: float64","Ticker
BANKINDIA.NS    145.460007
Name: 2025-11-21, dtype: float64","Ticker
BANKINDIA.NS    147.139999
Name: 2025-11-28, dtype: float64","Ticker
BANKINDIA.NS    142.149994
Name: 2025-12-05, dtype: float64"
ANGELONE.NS,"Ticker
ANGELONE.NS    2222.300049
Name: 2025-09-12, dtype: float64","Ticker
ANGELONE.NS    2266.600098
Name: 2025-09-19, dtype: float64","Ticker
ANGELONE.NS    2136.399902
Name: 2025-09-26, dtype: float64","Ticker
ANGELONE.NS    2201.300049
Name: 2025-10-03, dtype: float64","Ticker
ANGELONE.NS    2303.300049
Name: 2025-10-10, dtype: float64","Ticker
ANGELONE.NS    2496.5
Name: 2025-10-17, dtype: float64","Ticker
ANGELONE.NS    2514.5
Name: 2025-10-24, dtype: float64","Ticker
ANGELONE.NS    2492.399902
Name: 2025-10-31, dtype: float64","Ticker
ANGELONE.NS    2616.399902
Name: 2025-11-07, dtype: float64","Ticker
ANGELONE.NS    2745.300049
Name: 2025-11-14, dtype: float64","Ticker
ANGELONE.NS    2748.100098
Name: 2025-11-21, dtype: float64","Ticker
ANGELONE.NS    2703.800049
Name: 2025-11-28, dtype: float64","Ticker
ANGELONE.NS    2620.0
Name: 2025-12-05, dtype: float64"
DRREDDY.NS,"Ticker
DRREDDY.NS    1316.699951
Name: 2025-09-12, dtype: float64","Ticker
DRREDDY.NS    1321.699951
Name: 2025-09-19, dtype: float64","Ticker
DRREDDY.NS    1253.099976
Name: 2025-09-26, dtype: float64","Ticker
DRREDDY.NS    1248.099976
Name: 2025-10-03, dtype: float64","Ticker
DRREDDY.NS    1264.400024
Name: 2025-10-10, dtype: float64","Ticker
DRREDDY.NS    1255.900024
Name: 2025-10-17, dtype: float64","Ticker
DRREDDY.NS    1283.599976
Name: 2025-10-24, dtype: float64","Ticker
DRREDDY.NS    1197.599976
Name: 2025-10-31, dtype: float64","Ticker
DRREDDY.NS    1205.400024
Name: 2025-11-07, dtype: float64","Ticker
DRREDDY.NS    1246.0
Name: 2025-11-14, dtype: float64","Ticker
DRREDDY.NS    1243.900024
Name: 2025-11-21, dtype: float64","Ticker
DRREDDY.NS    1258.800049
Name: 2025-11-28, dtype: float64","Ticker
DRREDDY.NS    1279.199951
Name: 2025-12-05, dtype: float64"
SIEMENS.NS,"Ticker
SIEMENS.NS    3202.0
Name: 2025-09-12, dtype: float64","Ticker
SIEMENS.NS    3325.899902
Name: 2025-09-19, dtype: float64","Ticker
SIEMENS.NS    3096.300049
Name: 2025-09-26, dtype: float64","Ticker
SIEMENS.NS    3164.100098
Name: 2025-10-03, dtype: float64","Ticker
SIEMENS.NS    3147.399902
Name: 2025-10-10, dtype: float64","Ticker
SIEMENS.NS    3121.199951
Name: 2025-10-17, dtype: float64","Ticker
SIEMENS.NS    3152.199951
Name: 2025-10-24, dtype: float64","Ticker
SIEMENS.NS    3096.300049
Name: 2025-10-31, dtype: float64","Ticker
SIEMENS.NS    3033.399902
Name: 2025-11-07, dtype: float64","Ticker
SIEMENS.NS    3084.199951
Name: 2025-11-14, dtype: float64","Ticker
SIEMENS.NS    3173.5
Name: 2025-11-21, dtype: float64","Ticker
SIEMENS.NS    3297.0
Name: 2025-11-28, dtype: float64","Ticker
SIEMENS.NS    3350.100098
Name: 2025-12-05, dtype: float64"
RADICO.NS,"Ticker
RADICO.NS    2870.899902
Name: 2025-09-12, dtype: float64","Ticker
RADICO.NS    3052.5
Name: 2025-09-19, dtype: float64","Ticker
RADICO.NS    2882.800049
Name: 2025-09-26, dtype: float64","Ticker
RADICO.NS    2957.600098
Name: 2025-10-03, dtype: float64","Ticker
RADICO.NS    2988.399902
Name: 2025-10-10, dtype: float64","Ticker
RADICO.NS    3108.5
Name: 2025-10-17, dtype: float64","Ticker
RADICO.NS    3220.0
Name: 2025-10-24, dtype: float64","Ticker
RADICO.NS    3131.5
Name: 2025-10-31, dtype: float64","Ticker
RADICO.NS    3310.899902
Name: 2025-11-07, dtype: float64","Ticker
RADICO.NS    3259.899902
Name: 2025-11-14, dtype: float64","Ticker
RADICO.NS    3273.100098
Name: 2025-11-21, dtype: float64","Ticker
RADICO.NS    3208.100098
Name: 2025-11-28, dtype: float64","Ticker
RADICO.NS    3193.800049
Name: 2025-12-05, dtype: float64"
SBILIFE.NS,"Ticker
SBILIFE.NS    1830.199951
Name: 2025-09-12, dtype: float64","Ticker
SBILIFE.NS    1841.699951
Name: 2025-09-19, dtype: float64","Ticker
SBILIFE.NS    1798.800049
Name: 2025-09-26, dtype: float64","Ticker
SBILIFE.NS    1785.099976
Name: 2025-10-03, dtype: float64","Ticker
SBILIFE.NS    1810.400024
Name: 2025-10-10, dtype: float64","Ticker
SBILIFE.NS    1844.099976
Name: 2025-10-17, dtype: float64","Ticker
SBILIFE.NS    1839.800049
Name: 2025-10-24, dtype: float64","Ticker
SBILIFE.NS    1955.699951
Name: 2025-10-31, dtype: float64","Ticker
SBILIFE.NS    1998.900024
Name: 2025-11-07, dtype: float64","Ticker
SBILIFE.NS    2000.900024
Name: 2025-11-14, dtype: float64","Ticker
SBILIFE.NS    2022.5
Name: 2025-11-21, dtype: float64","Ticker
SBILIFE.NS    1966.0
Name: 2025-11-28, dtype: float64","Ticker
SBILIFE.NS    2024.0
Name: 2025-12-05, dtype: float64"
DIVISLAB.NS,"Ticker
DIVISLAB.NS    6026.5
Name: 2025-09-12, dtype: float64","Ticker
DIVISLAB.NS    6200.0
Name: 2025-09-19, dtype: float64","Ticker
DIVISLAB.NS    5689.5
Name: 2025-09-26, dtype: float64","Ticker
DIVISLAB.NS    5866.0
Name: 2025-10-03, dtype: float64","Ticker
DIVISLAB.NS    6474.5
Name: 2025-10-10, dtype: float64","Ticker
DIVISLAB.NS    6621.5
Name: 2025-10-17, dtype: float64","Ticker
DIVISLAB.NS    6593.0
Name: 2025-10-24, dtype: float64","Ticker
DIVISLAB.NS    6738.0
Name: 2025-10-31, dtype: float64","Ticker
DIVISLAB.NS    6656.5
Name: 2025-11-07, dtype: float64","Ticker
DIVISLAB.NS    6511.5
Name: 2025-11-14, dtype: float64","Ticker
DIVISLAB.NS    6373.0
Name: 2025-11-21, dtype: float64","Ticker
DIVISLAB.NS    6477.0
Name: 2025-11-28, dtype: float64","Ticker
DIVISLAB.NS    6408.5
Name: 2025-12-05, dtype: float64"
MOTHERSON.NS,"Ticker
MOTHERSON.NS    104.690002
Name: 2025-09-12, dtype: float64","Ticker
MOTHERSON.NS    109.080002
Name: 2025-09-19, dtype: float64","Ticker
MOTHERSON.NS    105.660004
Name: 2025-09-26, dtype: float64","Ticker
MOTHERSON.NS    106.669998
Name: 2025-10-03, dtype: float64","Ticker
MOTHERSON.NS    104.099998
Name: 2025-10-10, dtype: float64","Ticker
MOTHERSON.NS    104.699997
Name: 2025-10-17, dtype: float64","Ticker
MOTHERSON.NS    106.25
Name: 2025-10-24, dtype: float64","Ticker
MOTHERSON.NS    105.389999
Name: 2025-10-31, dtype: float64","Ticker
MOTHERSON.NS    103.800003
Name: 2025-11-07, dtype: float64","Ticker
MOTHERSON.NS    109.839996
Name: 2025-11-14, dtype: float64","Ticker
MOTHERSON.NS    109.800003
Name: 2025-11-21, dtype: float64","Ticker
MOTHERSON.NS    116.309998
Name: 2025-11-28, dtype: float64","Ticker
MOTHERSON.NS    117.440002
Name: 2025-12-05, dtype: float64"
VOLTAS.NS,"Ticker
VOLTAS.NS    1403.599976
Name: 2025-09-12, dtype: float64","Ticker
VOLTAS.NS    1419.900024
Name: 2025-09-19, dtype: float64","Ticker
VOLTAS.NS    1340.199951
Name: 2025-09-26, dtype: float64","Ticker
VOLTAS.NS    1360.400024
Name: 2025-10-03, dtype: float64","Ticker
VOLTAS.NS    1417.300049
Name: 2025-10-10, dtype: float64","Ticker
VOLTAS.NS    1426.599976
Name: 2025-10-17, dtype: float64","Ticker
VOLTAS.NS    1441.400024
Name: 2025-10-24, dtype: float64","Ticker
VOLTAS.NS    1383.599976
Name: 2025-10-31, dtype: float64","Ticker
VOLTAS.NS    1321.5
Name: 2025-11-07, dtype: float64","Ticker
VOLTAS.NS    1350.900024
Name: 2025-11-14, dtype: float64","Ticker
VOLTAS.NS    1395.800049
Name: 2025-11-21, dtype: float64","Ticker
VOLTAS.NS    1376.300049
Name: 2025-11-28, dtype: float64","Ticker
VOLTAS.NS    1316.699951
Name: 2025-12-05, dtype: float64"
JUBLPHARMA.NS,"Ticker
JUBLPHARMA.NS    1122.300049
Name: 2025-09-12, dtype: float64","Ticker
JUBLPHARMA.NS    1100.199951
Name: 2025-09-19, dtype: float64","Ticker
JUBLPHARMA.NS    1042.900024
Name: 2025-09-26, dtype: float64","Ticker
JUBLPHARMA.NS    1119.400024
Name: 2025-10-03, dtype: float64","Ticker
JUBLPHARMA.NS    1124.199951
Name: 2025-10-10, dtype: float64","Ticker
JUBLPHARMA.NS    1079.800049
Name: 2025-10-17, dtype: float64","Ticker
JUBLPHARMA.NS    1118.599976
Name: 2025-10-24, dtype: float64","Ticker
JUBLPHARMA.NS    1101.0
Name: 2025-10-31, dtype: float64","Ticker
JUBLPHARMA.NS    1127.199951
Name: 2025-11-07, dtype: float64","Ticker
JUBLPHARMA.NS    1131.400024
Name: 2025-11-14, dtype: float64","Ticker
JUBLPHARMA.NS    1057.800049
Name: 2025-11-21, dtype: float64","Ticker
JUBLPHARMA.NS    1089.699951
Name: 2025-11-28, dtype: float64","Ticker
JUBLPHARMA.NS    1064.5
Name: 2025-12-05, dtype: float64"
GMRAIRPORT.NS,"Ticker
GMRAIRPORT.NS    88.129997
Name: 2025-09-12, dtype: float64","Ticker
GMRAIRPORT.NS    92.529999
Name: 2025-09-19, dtype: float64","Ticker
GMRAIRPORT.NS    87.279999
Name: 2025-09-26, dtype: float64","Ticker
GMRAIRPORT.NS    89.279999
Name: 2025-10-03, dtype: float64","Ticker
GMRAIRPORT.NS    90.349998
Name: 2025-10-10, dtype: float64","Ticker
GMRAIRPORT.NS    90.150002
Name: 2025-10-17, dtype: float64","Ticker
GMRAIRPORT.NS    93.199997
Name: 2025-10-24, dtype: float64","Ticker
GMRAIRPORT.NS    93.970001
Name: 2025-10-31, dtype: float64","Ticker
GMRAIRPORT.NS    95.660004
Name: 2025-11-07, dtype: float64","Ticker
GMRAIRPORT.NS    95.669998
Name: 2025-11-14, dtype: float64","Ticker
GMRAIRPORT.NS    104.050003
Name: 2025-11-21, dtype: float64","Ticker
GMRAIRPORT.NS    108.349998
Name: 2025-11-28, dtype: float64","Ticker
GMRAIRPORT.NS    101.0
Name: 2025-12-05, dtype: float64"
JBMA.NS,"Ticker
JBMA.NS    712.950012
Name: 2025-09-12, dtype: float64","Ticker
JBMA.NS    725.599976
Name: 2025-09-19, dtype: float64","Ticker
JBMA.NS    686.0
Name: 2025-09-26, dtype: float64","Ticker
JBMA.NS    682.799988
Name: 2025-10-03, dtype: float64","Ticker
JBMA.NS    664.549988
Name: 2025-10-10, dtype: float64","Ticker
JBMA.NS    649.549988
Name: 2025-10-17, dtype: float64","Ticker
JBMA.NS    649.0
Name: 2025-10-24, dtype: float64","Ticker
JBMA.NS    665.0
Name: 2025-10-31, dtype: float64","Ticker
JBMA.NS    634.099976
Name: 2025-11-07, dtype: float64","Ticker
JBMA.NS    633.400024
Name: 2025-11-14, dtype: float64","Ticker
JBMA.NS    614.599976
Name: 2025-11-21, dtype: float64","Ticker
JBMA.NS    614.0
Name: 2025-11-28, dtype: float64","Ticker
JBMA.NS    596.0
Name: 2025-12-05, dtype: float64"
